scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
L,rush_job,1.0,LNS,5,1.000000,219.296467,8.188439,224.935458,219.296467,8.188439,1.052029
L,rush_job,1.0,MOEA-NSGA2,5,1.000000,209.163837,11.511719,210.800413,209.163837,11.511719,1.066002
L,rush_job,1.0,MOR,5,1.000000,213.526372,17.065316,211.776469,213.526372,17.065316,0.000018
L,rush_job,1.0,MachineRank,5,1.000000,213.318076,23.626953,206.048214,213.318076,23.626953,0.000248
L,rush_job,1.0,SA,5,1.000000,233.181589,20.619479,243.435388,233.181589,20.619479,1.054334
L,rush_job,10.0,B-CORE,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000541
L,rush_job,10.0,B-CORE-no-bottleneck,5,1.000000,167.094553,4.270706,167.056539,167.094553,4.270706,0.000514
L,rush_job,10.0,B-CORE-no-graph,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000528
L,rush_job,10.0,DCGA,5,1.000000,193.209219,8.843498,196.579877,193.209219,8.843498,10.059058
L,rush_job,10.0,GA,5,1.000000,191.996568,5.704880,192.172593,191.996568,5.704880,10.062530
L,rush_job,10.0,LNS,5,1.000000,201.026839,13.159622,205.398496,201.026839,13.159622,10.065057
L,rush_job,10.0,MOEA-NSGA2,5,1.000000,197.113815,9.791082,195.505391,197.113815,9.791082,10.060844
L,rush_job,10.0,MOR,5,1.000000,213.526372,17.065316,211.776469,213.526372,17.065316,0.000018
L,rush_job,10.0,MachineRank,5,1.000000,213.318076,23.626953,206.048214,213.318076,23.626953,0.000293
L,rush_job,10.0,SA,5,1.000000,211.379793,10.151429,214.412999,211.379793,10.151429,10.053153
L,rush_job,5.0,B-CORE,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000486
L,rush_job,5.0,B-CORE-no-bottleneck,5,1.000000,167.094553,4.270706,167.056539,167.094553,4.270706,0.000461
L,rush_job,5.0,B-CORE-no-graph,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000523
L,rush_job,5.0,DCGA,5,1.000000,192.218615,3.560579,192.187497,192.218615,3.560579,5.047835
L,rush_job,5.0,GA,5,1.000000,200.412662,6.652257,198.358406,200.412662,6.652257,5.040432
L,rush_job,5.0,LNS,5,1.000000,204.705922,12.593572,206.839808,204.705922,12.593572,5.066611
L,rush_job,5.0,MOEA-NSGA2,5,1.000000,200.954889,6.981784,205.638708,200.954889,6.981784,5.060501
L,rush_job,5.0,MOR,5,1.000000,213.526372,17.065316,211.776469,213.526372,17.065316,0.000020
L,rush_job,5.0,MachineRank,5,1.000000,213.318076,23.626953,206.048214,213.318076,23.626953,0.000261
L,rush_job,5.0,SA,5,1.000000,221.271887,15.988738,229.547436,221.271887,15.988738,5.053216
M,breakdown,0.1,B-CORE,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000308
M,breakdown,0.1,B-CORE-no-bottleneck,5,1.000000,80.926509,6.737527,77.279019,80.926509,6.737527,0.000265
M,breakdown,0.1,B-CORE-no-graph,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000365
M,breakdown,0.1,DCGA,5,1.000000,92.511548,7.520246,88.407647,92.511548,7.520246,0.112709
M,breakdown,0.1,GA,5,1.000000,97.272909,8.903632,99.664408,97.272909,8.903632,0.114716
M,breakdown,0.1,LNS,5,1.000000,102.493970,11.393086,102.668563,102.493970,11.393086,0.113264
M,breakdown,0.1,MOEA-NSGA2,5,1.000000,93.833761,3.946994,93.230073,93.833761,3.946994,0.229621
M,breakdown,0.1,MOR,5,1.000000,100.057937,4.236875,99.273012,100.057937,4.236875,0.000009
M,breakdown,0.1,MachineRank,5,1.000000,93.990849,8.767352,91.939054,93.990849,8.767352,0.000122
M,breakdown,0.1,SA,5,1.000000,96.690033,16.290055,99.962085,96.690033,16.290055,0.110648
M,breakdown,0.5,B-CORE,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000305
M,breakdown,0.5,B-CORE-no-bottleneck,5,1.000000,80.926509,6.737527,77.279019,80.926509,6.737527,0.000313
M,breakdown,0.5,B-CORE-no-graph,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000321
M,breakdown,0.5,DCGA,5,1.000000,86.343836,12.210285,91.297508,86.343836,12.210285,0.514357
M,breakdown,0.5,GA,5,1.000000,88.707432,7.152195,90.904723,88.707432,7.152195,0.513717
M,breakdown,0.5,LNS,5,1.000000,89.246634,9.358655,85.570582,89.246634,9.358655,0.511865
M,breakdown,0.5,MOEA-NSGA2,5,1.000000,90.473519,8.562665,90.907279,90.473519,8.562665,0.513497
M,breakdown,0.5,MOR,5,1.000000,100.057937,4.236875,99.273012,100.057937,4.236875,0.000009
M,breakdown,0.5,MachineRank,5,1.000000,93.990849,8.767352,91.939054,93.990849,8.767352,0.000131
