scale,event_type,instance_seed,budget_sec,best_algorithm,best_objective,best_status
M,rush_job,42,1.0,B-CORE-no-bottleneck,84.639603,solved
M,rush_job,42,10.0,GA,80.393559,solved
M,rush_job,42,5.0,B-CORE-no-bottleneck,84.639603,solved
M,rush_job,43,0.1,B-CORE-no-bottleneck,75.504564,solved
M,rush_job,43,0.5,B-CORE-no-bottleneck,75.504564,solved
M,rush_job,43,1.0,B-CORE-no-bottleneck,75.504564,solved
M,rush_job,43,10.0,DCGA,75.442254,solved
M,rush_job,43,5.0,B-CORE-no-bottleneck,75.504564,solved
M,rush_job,44,0.1,B-CORE,67.368544,solved
M,rush_job,44,0.5,B-CORE,67.368544,solved
M,rush_job,44,1.0,B-CORE,67.368544,solved
M,rush_job,44,10.0,DCGA,60.964641,solved
M,rush_job,44,5.0,GA,60.082561,solved
M,rush_job,45,0.1,B-CORE,74.168721,solved
M,rush_job,45,0.5,DCGA,67.569747,solved
M,rush_job,45,1.0,LNS,67.314189,solved
M,rush_job,45,10.0,DCGA,61.191156,solved
M,rush_job,45,5.0,DCGA,67.654504,solved
M,rush_job,46,0.1,B-CORE,76.423770,solved
M,rush_job,46,0.5,B-CORE,76.423770,solved
M,rush_job,46,1.0,B-CORE,76.423770,solved
M,rush_job,46,10.0,GA,69.923915,solved
M,rush_job,46,5.0,GA,68.843739,solved
S,breakdown,42,0.1,B-CORE-no-graph,48.026998,solved
S,breakdown,42,0.5,GA,47.430517,solved
S,breakdown,42,1.0,DCGA,45.966051,solved
S,breakdown,42,10.0,LNS,43.066051,solved
S,breakdown,42,5.0,LNS,43.066051,solved
S,breakdown,43,0.1,MOEA-NSGA2,45.903301,solved
S,breakdown,43,0.5,MOEA-NSGA2,43.403301,solved
S,breakdown,43,1.0,MOEA-NSGA2,43.403301,solved
S,breakdown,43,10.0,SA,43.280970,solved
S,breakdown,43,5.0,SA,43.280970,solved
S,breakdown,44,0.1,B-CORE,59.130517,solved
S,breakdown,44,0.5,B-CORE,59.130517,solved
S,breakdown,44,1.0,MOEA-NSGA2,57.544529,solved
S,breakdown,44,10.0,DCGA,54.306998,solved
S,breakdown,44,5.0,DCGA,54.306998,solved
S,breakdown,45,0.1,GA,46.480063,solved
S,breakdown,45,0.5,DCGA,43.634699,solved
S,breakdown,45,1.0,DCGA,42.566051,solved
S,breakdown,45,10.0,MOEA-NSGA2,41.301893,solved
S,breakdown,45,5.0,MOEA-NSGA2,41.301893,solved
S,breakdown,46,0.1,LNS,40.845436,solved
S,breakdown,46,0.5,LNS,38.474369,solved
S,breakdown,46,1.0,LNS,38.474369,solved
S,breakdown,46,10.0,SA,39.515597,solved
S,breakdown,46,5.0,SA,39.515597,solved
S,mixed,42,0.1,DCGA,44.746400,solved
S,mixed,42,0.5,MOEA-NSGA2,42.221604,solved
S,mixed,42,1.0,LNS,42.959449,solved
S,mixed,42,10.0,MOEA-NSGA2,39.429609,solved
S,mixed,42,5.0,MOEA-NSGA2,39.429609,solved
S,mixed,43,0.1,MOEA-NSGA2,55.847018,solved
S,mixed,43,0.5,DCGA,51.147018,solved
S,mixed,43,1.0,LNS,51.147018,solved
S,mixed,43,10.0,GA,47.176240,solved
S,mixed,43,5.0,MOEA-NSGA2,46.341614,solved
S,mixed,44,0.1,MOR,59.140706,solved
S,mixed,44,0.5,MOR,59.140706,solved
S,mixed,44,1.0,MOR,59.140706,solved
S,mixed,44,10.0,GA,55.136211,solved
S,mixed,44,5.0,MOEA-NSGA2,57.165452,solved
S,mixed,45,0.1,B-CORE-no-bottleneck,60.620995,solved
S,mixed,45,0.5,DCGA,57.214689,solved
S,mixed,45,1.0,GA,54.915597,solved
S,mixed,45,10.0,DCGA,55.934699,solved
S,mixed,45,5.0,GA,55.934699,solved
S,mixed,46,0.1,B-CORE,41.076999,solved
S,mixed,46,0.5,GA,38.094075,solved
S,mixed,46,1.0,GA,35.644529,solved
S,mixed,46,10.0,LNS,35.644529,solved
S,mixed,46,5.0,LNS,35.644529,solved
S,rush_job,42,0.1,MOEA-NSGA2,44.562228,solved
S,rush_job,42,0.5,LNS,42.894075,solved
S,rush_job,42,1.0,DCGA,40.594983,solved
S,rush_job,42,10.0,MOEA-NSGA2,39.823915,solved
S,rush_job,42,5.0,DCGA,40.594983,solved
S,rush_job,43,0.1,MOEA-NSGA2,52.256231,solved
S,rush_job,43,0.5,MOEA-NSGA2,44.744529,solved
S,rush_job,43,1.0,LNS,43.994983,solved
S,rush_job,43,10.0,MOEA-NSGA2,42.394983,solved
S,rush_job,43,5.0,MOEA-NSGA2,43.236520,solved
S,rush_job,44,0.1,B-CORE,57.035616,solved
S,rush_job,44,0.5,LNS,53.761316,solved
S,rush_job,44,1.0,LNS,53.700677,solved
S,rush_job,44,10.0,DCGA,49.306090,solved
S,rush_job,44,5.0,LNS,50.666051,solved
S,rush_job,45,0.1,B-CORE,47.195292,solved
S,rush_job,45,0.5,B-CORE,47.195292,solved
S,rush_job,45,1.0,MOEA-NSGA2,45.636520,solved
S,rush_job,45,10.0,DCGA,43.510856,solved
S,rush_job,45,5.0,MOEA-NSGA2,43.510856,solved
S,rush_job,46,0.1,DCGA,47.234699,solved
S,rush_job,46,0.5,DCGA,46.400073,solved
S,rush_job,46,1.0,DCGA,46.400073,solved
S,rush_job,46,10.0,GA,45.805767,solved
S,rush_job,46,5.0,GA,45.805767,solved
