scale,event_type,budget_sec,algorithm,mean_makespan,mean_p95_latency,mean_objective
M,breakdown,10.0,MOEA-NSGA2,73.535758,10.012056,73.535758
M,breakdown,10.0,MOR,100.057937,0.000010,100.057937
M,breakdown,10.0,MachineRank,93.990849,0.000117,93.990849
M,breakdown,10.0,SA,85.895229,9.370522,85.895229
M,breakdown,5.0,B-CORE,79.011724,0.000333,79.011724
M,breakdown,5.0,B-CORE-no-bottleneck,80.926509,0.000317,80.926509
M,breakdown,5.0,B-CORE-no-graph,79.011724,0.000322,79.011724
M,breakdown,5.0,DCGA,75.320454,5.013359,75.320454
M,breakdown,5.0,GA,79.569180,5.015491,79.569180
M,breakdown,5.0,LNS,78.767463,5.013692,78.767463
M,breakdown,5.0,MOEA-NSGA2,77.256190,5.008764,77.256190
M,breakdown,5.0,MOR,100.057937,0.000010,100.057937
M,breakdown,5.0,MachineRank,93.990849,0.000119,93.990849
M,breakdown,5.0,SA,85.182617,5.010813,85.182617
M,mixed,0.1,B-CORE,76.361847,0.000303,76.361847
M,mixed,0.1,B-CORE-no-bottleneck,75.433679,0.000335,75.433679
M,mixed,0.1,B-CORE-no-graph,76.361847,0.001244,76.361847
M,mixed,0.1,DCGA,97.163049,0.112366,97.163049
M,mixed,0.1,GA,96.954900,0.114417,96.954900
M,mixed,0.1,LNS,95.353080,0.111173,95.353080
M,mixed,0.1,MOEA-NSGA2,95.806748,0.226213,95.806748
M,mixed,0.1,MOR,98.688375,0.000011,98.688375
M,mixed,0.1,MachineRank,88.486920,0.000132,88.486920
M,mixed,0.1,SA,96.019180,0.111715,96.019180
M,mixed,0.5,B-CORE,76.361847,0.000310,76.361847
M,mixed,0.5,B-CORE-no-bottleneck,75.433679,0.000331,75.433679
M,mixed,0.5,B-CORE-no-graph,76.361847,0.000324,76.361847
M,mixed,0.5,DCGA,87.214352,0.516306,87.214352
M,mixed,0.5,GA,89.518640,0.517371,89.518640
M,mixed,0.5,LNS,85.285213,0.513982,85.285213
M,mixed,0.5,MOEA-NSGA2,87.436834,0.515705,87.436834
M,mixed,0.5,MOR,98.688375,0.000010,98.688375
M,mixed,0.5,MachineRank,88.486920,0.000126,88.486920
M,mixed,0.5,SA,94.583753,0.514400,94.583753
