scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
M,breakdown,5.0,MOR,5,5,100.057937,4.236875,99.273012,94.580759,106.363740
M,breakdown,5.0,MachineRank,5,5,93.990849,8.767352,91.939054,85.116127,104.525282
M,breakdown,5.0,SA,5,5,85.182617,6.563484,86.386296,74.120088,91.431964
M,mixed,0.1,B-CORE,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,0.1,B-CORE-no-bottleneck,5,5,75.433679,3.397153,75.528266,72.163495,80.873666
M,mixed,0.1,B-CORE-no-graph,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,0.1,DCGA,5,5,97.163049,8.211885,97.058277,83.922558,104.845880
M,mixed,0.1,GA,5,5,96.954900,3.772243,96.033029,91.908865,101.992114
M,mixed,0.1,LNS,5,5,95.353080,9.801552,99.269104,78.598071,103.010081
M,mixed,0.1,MOEA-NSGA2,5,5,95.806748,6.539331,96.504369,84.959308,101.410485
M,mixed,0.1,MOR,5,5,98.688375,7.804036,100.122255,86.406080,105.642759
M,mixed,0.1,MachineRank,5,5,88.486920,1.172222,87.874390,87.311774,90.063806
M,mixed,0.1,SA,5,5,96.019180,3.883745,97.075859,89.253629,98.674132
M,mixed,0.5,B-CORE,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,0.5,B-CORE-no-bottleneck,5,5,75.433679,3.397153,75.528266,72.163495,80.873666
M,mixed,0.5,B-CORE-no-graph,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,0.5,DCGA,5,5,87.214352,11.340537,89.099835,67.924869,96.318954
M,mixed,0.5,GA,5,5,89.518640,7.246826,87.599257,79.891160,99.269949
M,mixed,0.5,LNS,5,5,85.285213,6.616181,86.337938,75.348539,92.928844
M,mixed,0.5,MOEA-NSGA2,5,5,87.436834,6.164512,86.744393,78.651480,94.068825
M,mixed,0.5,MOR,5,5,98.688375,7.804036,100.122255,86.406080,105.642759
M,mixed,0.5,MachineRank,5,5,88.486920,1.172222,87.874390,87.311774,90.063806
M,mixed,0.5,SA,5,5,94.583753,10.009642,92.508158,81.837787,105.889464
M,mixed,1.0,B-CORE,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,1.0,B-CORE-no-bottleneck,5,5,75.433679,3.397153,75.528266,72.163495,80.873666
M,mixed,1.0,B-CORE-no-graph,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,1.0,DCGA,5,5,77.606726,8.933280,75.197757,67.482294,87.379530
M,mixed,1.0,GA,5,5,84.921445,6.264731,83.088602,76.430439,91.318970
M,mixed,1.0,LNS,5,5,83.405408,4.981044,85.481943,74.789163,86.880214
M,mixed,1.0,MOEA-NSGA2,5,5,81.352228,6.280432,81.735936,72.100677,87.443477
M,mixed,1.0,MOR,5,5,98.688375,7.804036,100.122255,86.406080,105.642759
M,mixed,1.0,MachineRank,5,5,88.486920,1.172222,87.874390,87.311774,90.063806
M,mixed,1.0,SA,5,5,89.632162,6.433079,92.508158,78.627925,93.916136
M,mixed,10.0,B-CORE,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,10.0,B-CORE-no-bottleneck,5,5,75.433679,3.397153,75.528266,72.163495,80.873666
M,mixed,10.0,B-CORE-no-graph,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,10.0,DCGA,5,5,68.736510,5.993450,68.270279,60.997776,77.067318
M,mixed,10.0,GA,5,5,70.631491,8.599157,68.379333,59.691160,82.618727
M,mixed,10.0,LNS,5,5,74.615762,2.554235,75.579333,70.360716,76.551486
M,mixed,10.0,MOEA-NSGA2,5,5,72.859098,1.602129,73.208495,70.510258,74.298066
M,mixed,10.0,MOR,5,5,98.688375,7.804036,100.122255,86.406080,105.642759
M,mixed,10.0,MachineRank,5,5,88.486920,1.172222,87.874390,87.311774,90.063806
M,mixed,10.0,SA,5,5,79.624633,3.137702,78.748221,76.467628,84.548741
M,mixed,5.0,B-CORE,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,5.0,B-CORE-no-bottleneck,5,5,75.433679,3.397153,75.528266,72.163495,80.873666
M,mixed,5.0,B-CORE-no-graph,5,5,76.361847,6.036979,77.839603,68.507587,84.308774
M,mixed,5.0,DCGA,5,5,73.947374,5.668458,73.736524,67.327307,81.651804
M,mixed,5.0,GA,5,5,75.538567,7.276827,76.691160,64.500396,84.491451
M,mixed,5.0,LNS,5,5,75.986840,6.819204,74.198984,70.360716,87.392139
M,mixed,5.0,MOEA-NSGA2,5,5,76.450920,5.811277,77.769470,66.975730,82.344926
