scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
M,rush_job,10.0,MOEA-NSGA2,5,5,10.014234,0.004297,10.013218,10.009195,10.020744
M,rush_job,10.0,MOR,5,5,0.000010,0.000002,0.000010,0.000008,0.000012
M,rush_job,10.0,MachineRank,5,5,0.000094,0.000051,0.000111,0.000014,0.000141
M,rush_job,10.0,SA,5,5,9.125233,0.995077,9.626491,7.629711,9.922262
M,rush_job,5.0,B-CORE,5,5,0.000329,0.000017,0.000334,0.000305,0.000343
M,rush_job,5.0,B-CORE-no-bottleneck,5,5,0.000324,0.000026,0.000328,0.000283,0.000351
M,rush_job,5.0,B-CORE-no-graph,5,5,0.000329,0.000020,0.000322,0.000303,0.000354
M,rush_job,5.0,DCGA,5,5,5.014504,0.002335,5.013757,5.011553,5.017554
M,rush_job,5.0,GA,5,5,5.011404,0.003162,5.010028,5.007766,5.015579
M,rush_job,5.0,LNS,5,5,5.012105,0.003525,5.009999,5.009294,5.016905
M,rush_job,5.0,MOEA-NSGA2,5,5,5.011103,0.005166,5.013266,5.002580,5.015913
M,rush_job,5.0,MOR,5,5,0.000010,0.000001,0.000010,0.000008,0.000011
